iter	Passed	Remaining
577	751	548
578	753	547
579	754	546
580	755	545
581	757	543
582	758	542
583	759	541
584	760	539
585	762	538
586	763	537
587	764	535
588	765	534
589	767	533
590	768	531
591	769	530
592	771	529
593	772	527
594	773	526
595	774	524
596	775	523
597	776	522
598	778	520
599	779	519
600	780	518
601	782	517
602	783	515
603	784	514
604	785	513
605	787	511
606	788	510
607	789	508
608	790	507
609	791	506
610	792	504
611	794	503
612	795	502
613	797	501
614	798	499
615	800	498
616	801	497
617	802	495
618	803	494
619	804	493
620	805	491
621	807	490
622	808	489
623	809	487
624	810	486
625	812	485
626	814	484
627	815	482
628	816	481
629	817	480
630	818	478
631	820	477
632	821	476
633	822	474
634	823	473
635	825	472
636	826	471
637	827	469
638	828	468
639	830	466
640	831	465
641	832	464
642	834	463
643	835	461
644	836	460
645	838	459
646	839	457
647	840	456
648	841	455
649	842	453
650	844	452
651	845	451
652	846	449
653	847	448
654	848	447
655	849	445
656	850	444
657	852	442
658	853	441
659	854	440
660	855	438
661	856	437
662	857	436
663	859	434
664	860	433
665	861	431
666	862	430
667	863	429
668	864	427
669	865	426
670	867	425
671	868	423
672	869	422
673	870	421
674	871	419
675	873	418
676	874	417
677	875	415
678	876	414
679	877	413
680	878	411
681	880	410
682	881	408
683	882	407
684	883	406
685	884	404
686	886	403
687	887	402
688	889	401
689	890	399
690	891	398
691	892	397
692	893	395
693	894	394
694	895	393
695	896	391
696	898	390
697	899	389
698	900	387
699	901	386
700	903	385
701	904	383
702	905	382
703	906	381
704	907	379
705	908	378
706	909	377
707	910	375
708	912	374
709	913	372
710	914	371
711	915	370
712	917	369
713	918	367
714	919	366
715	921	365
716	922	364
717	923	362
718	924	361
719	925	360
720	926	358
721	928	357
722	929	355
723	930	354
724	931	353
725	933	352
726	934	350
727	935	349
728	936	348
729	937	346
730	938	345
731	939	344
732	941	342
733	942	341
734	943	340
735	944	338
736	946	337
737	948	336
738	949	335
739	950	334
740	952	332
741	953	331
742	954	330
743	956	328
744	957	327
745	958	326
746	959	325
747	961	323
748	962	322
749	964	321
750	965	320
751	966	318
752	967	317
753	968	316
754	970	314
755	971	313
756	972	312
757	973	310
758	975	309
759	976	308
760	978	307
761	979	305
762	981	304
763	982	303
764	983	302
765	984	300
766	985	299
767	987	298
768	988	296
769	989	295
770	990	294
771	992	293
772	993	291
773	994	290
774	995	289
775	997	287
776	998	286
777	999	285
778	1000	283
779	1002	282
780	1003	281
781	1004	280
782	1006	278
783	1007	277
784	1008	276
785	1010	275
786	1011	273
787	1012	272
788	1014	271
789	1015	269
790	1016	268
791	1017	267
792	1018	265
793	1020	264
794	1021	263
795	1022	262
796	1024	260
797	1027	260
798	1028	258
799	1029	257
800	1031	256
801	1032	254
802	1033	253
803	1035	252
804	1037	251
805	1038	250
806	1040	248
807	1041	247
808	1043	246
809	1044	244
810	1045	243
811	1047	242
812	1048	241
813	1050	240
814	1052	238
815	1053	237
816	1055	236
817	1058	235
818	1060	234
819	1063	233
820	1065	232
821	1067	231
822	1068	229
823	1069	228
824	1071	227
825	1073	226
826	1074	224
827	1076	223
828	1077	222
829	1079	221
830	1080	219
831	1083	218
832	1084	217
833	1086	216
834	1087	214
835	1088	213
836	1090	212
837	1091	211
838	1092	209
839	1094	208
840	1095	207
841	1097	205
842	1098	204
843	1100	203
844	1101	202
845	1103	200
846	1104	199
847	1105	198
848	1107	196
849	1109	195
850	1111	194
851	1113	193
852	1114	192
853	1115	190
854	1117	189
855	1118	188
856	1120	186
857	1121	185
858	1123	184
859	1125	183
860	1127	181
861	1128	180
862	1130	179
863	1131	178
864	1133	176
865	1134	175
866	1135	174
867	1137	172
868	1138	171
869	1140	170
870	1141	169
871	1142	167
872	1143	166
873	1144	165
874	1145	163
875	1147	162
876	1148	161
877	1149	159
878	1151	158
879	1152	157
880	1153	155
881	1155	154
882	1156	153
883	1157	151
884	1158	150
885	1160	149
886	1161	147
887	1162	146
888	1163	145
889	1165	143
890	1166	142
891	1167	141
892	1169	140
893	1170	138
894	1171	137
895	1172	136
896	1174	134
897	1175	133
898	1176	132
899	1177	130
900	1179	129
901	1180	128
902	1182	126
903	1183	125
904	1184	124
905	1186	123
906	1187	121
907	1188	120
908	1189	119
909	1191	117
910	1192	116
911	1193	115
912	1194	113
913	1196	112
914	1197	111
915	1198	109
916	1200	108
917	1201	107
918	1202	105
919	1204	104
920	1205	103
921	1206	102
922	1207	100
923	1209	99
924	1210	98
925	1211	96
926	1213	95
927	1214	94
928	1215	92
929	1217	91
930	1218	90
931	1219	88
932	1220	87
933	1222	86
934	1223	85
935	1225	83
936	1226	82
937	1228	81
938	1230	79
939	1231	78
940	1233	77
941	1234	75
942	1235	74
943	1236	73
944	1238	72
945	1239	70
946	1240	69
947	1241	68
948	1243	66
949	1245	65
950	1246	64
951	1247	62
952	1248	61
953	1250	60
954	1251	58
955	1253	57
956	1254	56
957	1255	55
958	1257	53
959	1258	52
960	1260	51
961	1262	49
962	1263	48
963	1264	47
964	1266	45
965	1267	44
966	1268	43
967	1270	41
968	1271	40
969	1273	39
970	1274	38
971	1276	36
972	1277	35
973	1279	34
974	1280	32
975	1281	31
976	1283	30
977	1284	28
978	1285	27
979	1287	26
980	1288	24
981	1290	23
982	1292	22
983	1293	21
984	1294	19
985	1296	18
986	1297	17
987	1298	15
988	1300	14
989	1301	13
990	1302	11
991	1304	10
992	1305	9
993	1307	7
994	1308	6
995	1309	5
996	1311	3
997	1312	2
998	1313	1
999	1314	0
